canonical_concept_id,canonical_concept_name,raw_concept_name,parent_domain,competency_area,source_file,source_id,alias_name,is_canonical_label,embedding_text
CC-0059,JTS Induction Training,JTS Induction Training,NSSTA Training Category,Training/Categorization,nssta.dataset.xlsx,NSSTA-CAT-003,JTS Induction Training,True,JTS Induction Training. Domain: NSSTA Training Category. Competency area: Training/Categorization.
CC-0060,Manufacturing,Manufacturing,Industry Statistics,Statistical,05_MOSPI_statistical_domains.csv,STAT-02,Manufacturing,True,Manufacturing. Domain: Industry Statistics. Competency area: Statistical.
CC-0060,Manufacturing,Manufacturing,National Accounts Statistics,Statistical,07_MOSPI_national_accounts_topics.csv,NAS-T13,Manufacturing,True,Manufacturing. Domain: National Accounts Statistics. Competency area: Statistical.
CC-0061,Members of Parliament Local Area Development Scheme (MPLADS),Members of Parliament Local Area Development Scheme (MPLADS),Programme Implementation,Programme Implementation,MoSPI.dataset.xlsx,MOSPI034,Members of Parliament Local Area Development Scheme (MPLADS),True,Members of Parliament Local Area Development Scheme (MPLADS). Domain: Programme Implementation. Competency area: Programme Implementation.
CC-0062,Metadata,Metadata,Sustainable Development Goals,SDG / Statistical,05_MOSPI_statistical_domains.csv,STAT-05,Metadata,True,Metadata. Domain: Sustainable Development Goals. Competency area: SDG / Statistical.
CC-0062,Metadata,Metadata,Metadata / NMDS,Metadata / Data Quality,05_MOSPI_statistical_domains.csv,STAT-07,Metadata,True,Metadata. Domain: Metadata / NMDS. Competency area: Metadata / Data Quality.
CC-0063,Metadata Formats,Metadata Formats,Sustainable Development Goals,Statistical,MoSPI.dataset.xlsx,MOSPI032,Metadata Formats,True,Metadata Formats. Domain: Sustainable Development Goals. Competency area: Statistical.
CC-0064,Metadata Guidelines,Metadata Guidelines,Sustainable Development Goals,Statistical,MoSPI.dataset.xlsx,MOSPI031,Metadata Guidelines,True,Metadata Guidelines. Domain: Sustainable Development Goals. Competency area: Statistical.
CC-0065,Micro Data,Micro Data,Data & Visualizations,Data Governance,MoSPI.dataset.xlsx,MOSPI040,Micro Data,True,Micro Data. Domain: Data & Visualizations. Competency area: Data Governance.
CC-0066,Mining,Mining,Industry Statistics,Statistical,05_MOSPI_statistical_domains.csv,STAT-02,Mining,True,Mining. Domain: Industry Statistics. Competency area: Statistical.
CC-0067,Mining and Quarrying,Mining and Quarrying,National Accounts Statistics,Statistical,07_MOSPI_national_accounts_topics.csv,NAS-T12,Mining and Quarrying,True,Mining and Quarrying. Domain: National Accounts Statistics. Competency area: Statistical.
CC-0068,Multiple Indicator Survey (MIS),MIS,National Sample Survey,Survey Statistics,05_MOSPI_statistical_domains.csv,STAT-04,MIS,False,Multiple Indicator Survey (MIS). Domain: National Sample Survey. Competency area: Survey Statistics.
